,현인원,구인인원,채용인원,미충원인원,부족인원,채용계획인원,규모,산업
335,142124,3014,2783,231,1372,1595,5규모(300인이상),M70 연구개발업
336,99061,2641,2529,112,1019,1015,5규모(300인이상),M71 전문 서비스업
337,49803,2460,2438,22,503,502,5규모(300인이상),M72 건축 기술 엔지니어링 및 기타 과학기술 서비스업
338,2112,31,29,2,42,62,5규모(300인이상),M73 기타 전문 과학 및 기술 서비스업
339,94189,11631,11459,172,1089,1205,5규모(300인이상),N74 사업시설 관리 및 조경 서비스업
340,343893,50073,48245,1828,3944,4658,5규모(300인이상),N75 사업 지원 서비스업
341,343,16,16,0,0,0,5규모(300인이상),N76 임대업; 부동산 제외
342,201415,27504,26910,594,1019,1986,5규모(300인이상),P85 교육 서비스업
343,275405,22127,20283,1844,5641,6288,5규모(300인이상),Q86 보건업
344,5607,478,478,0,10,10,5규모(300인이상),Q87 사회복지 서비스업
345,1368,21,21,0,17,17,5규모(300인이상),R90 창작 예술 및 여가관련 서비스업
346,16973,892,843,49,192,210,5규모(300인이상),R91 스포츠 및 오락관련 서비스업
347,3152,21,19,2,38,81,5규모(300인이상),S94 협회 및 단체
348,0,0,0,0,0,0,5규모(300인이상),S95 개인 및 소비용품 수리업
349,0,0,0,0,0,0,5규모(300인이상),S96 기타 개인 서비스업
